admin_level,id,name,Number of open links,Bigraph built in,Bigraph loaded in,Number of nodes,Number of edges,Number of boundaries,Number of streets,Number of buildings,Number of junctions,Added agent in,leave_building,move_across_linked_streets,enter_building starting in street,enter_building_from_street,leave_street,enter_building_from_boundary,enter_building starting in boundary,enter_street,Maximum resident set size (kbytes),Number of outer names
8,295353,South Cambridgeshire,38;15;45;52;132;87;98;58;30;13;20;129;19;46;8;9;57;48;38;36;58;39;43;59;27;56;38;330;36;32;10;118;16;14;19;10;18;50;42;31;25;22;14;7;11;24;11;13;33;38;30;87;48;10;22;127;33;36;47;44;56;101;25;21;43;53;37;52;91;68;140;53;46;39;36;18;131;29;22;9;33;19;64;23;31;21;129;34;34;62;40;74;126;22;147;49;126;14;127;79;29;61;76;119;688;,10.799683,,75961,37326,105,4663,27711,11003,,,,,,,,,,1373836,178
6,1906767,Glasgow City,11685;,156.503049,,70524,34790,1,7427,15678,24312,,,,,,,,,,1424320,194
9,55734,Steglitz-Zehlendorf,365;337;175;124;118;283;505;207;154;522;123;274;,14.570272,,74559,36943,12,1829,32366,6145,,,,,,,,,,1448452,102
8,118362,Leeds,975;177;145;438;202;311;15;132;63;23;195;115;76;57;47;52;8;114;338;31;40;166;67;77;167;52;24;22;27;43;246;78;99;44;89;34;36;33;14654;,387.644254,,161213,79732,39,13715,47115,39475,,,,,,,,,,6037480,132
6,51800,City of London,3;580;,0.863677,,4193,2089,2,431,1077,1173,,,,,,,,,,54840,93
8,172987,Liverpool,10168;,136.740109,,50577,24816,1,6879,7769,21279,,,,,,,,,,858932,122
8,8450265,London Borough of Southwark,2931;,12.610314,,42145,21031,1,2038,16062,5943,,,,,,,,,,461120,193
8,2305280,Oceanside,3945;,26.567950,,78005,38904,1,2709,32250,8085,,,,,,,,,,1162032,86
6,1920901,City of Edinburgh,153;150;229;68;269;74;100;92;110;94;143;565;194;116;113;363;115;286;240;198;55;128;102;171;178;162;143;196;226;193;3429;,18.584057,,48146,23286,31,6138,9268,17272,,,,,,,,,,698272,57
8,111848,Chula Vista,4959;,39.315500,,77630,38686,1,3186,30541,10174,,,,,,,,,,1201736,129
9,30353,Wandsbek,65;171;161;187;110;328;285;574;243;173;88;338;281;107;84;70;187;254;80;418;,27.625133,,149385,74302,20,2582,68076,8029,,,,,,,,,,4903580,113
8,295355,Cambridge,1875;,9.067610,,62838,31355,1,1612,27868,3876,,,,,,,,,,749248,73
